num_date_time,answer
1 2020-08-25 00,2392.8841892997766
1 2020-08-25 01,2392.8841892997766
1 2020-08-25 02,2392.8841892997766
1 2020-08-25 03,2228.566892655207
1 2020-08-25 04,2228.566892655207
1 2020-08-25 05,2228.566892655207
1 2020-08-25 06,2208.592631503707
1 2020-08-25 07,2208.592631503707
1 2020-08-25 08,2208.592631503707
1 2020-08-25 09,2530.5197470310673
1 2020-08-25 10,2530.5197470310673
1 2020-08-25 11,2530.5197470310673
1 2020-08-25 12,2757.9811494493083
1 2020-08-25 13,2757.9811494493083
1 2020-08-25 14,2757.9811494493083
1 2020-08-25 15,2389.053324340306
1 2020-08-25 16,2389.053324340306
1 2020-08-25 17,2389.053324340306
1 2020-08-25 18,2790.8746020581543
1 2020-08-25 19,2790.8746020581543
1 2020-08-25 20,2790.8746020581543
1 2020-08-25 21,2416.0143901661363
1 2020-08-25 22,2416.0143901661363
1 2020-08-25 23,2416.0143901661363
1 2020-08-26 00,2549.1987374561563
1 2020-08-26 01,2549.1987374561563
1 2020-08-26 02,2549.1987374561563
1 2020-08-26 03,2418.770309783714
1 2020-08-26 04,2418.770309783714
1 2020-08-26 05,2418.770309783714
1 2020-08-26 06,2366.7593852531804
1 2020-08-26 07,2366.7593852531804
1 2020-08-26 08,2366.7593852531804
1 2020-08-26 09,2547.479848648231
1 2020-08-26 10,2547.479848648231
1 2020-08-26 11,2547.479848648231
1 2020-08-26 12,2253.657966117049
1 2020-08-26 13,2253.657966117049
1 2020-08-26 14,2253.657966117049
1 2020-08-26 15,2264.3111077526023
1 2020-08-26 16,2264.3111077526023
1 2020-08-26 17,2264.3111077526023
1 2020-08-26 18,2584.0834982644624
1 2020-08-26 19,2584.0834982644624
1 2020-08-26 20,2584.0834982644624
1 2020-08-26 21,2656.0332264500666
1 2020-08-26 22,2656.0332264500666
1 2020-08-26 23,2656.0332264500666
1 2020-08-27 00,2445.5568265855377
1 2020-08-27 01,2445.5568265855377
1 2020-08-27 02,2445.5568265855377
1 2020-08-27 03,2515.8873142324396
1 2020-08-27 04,2515.8873142324396
1 2020-08-27 05,2515.8873142324396
1 2020-08-27 06,2561.9025497100024
1 2020-08-27 07,2561.9025497100024
1 2020-08-27 08,2561.9025497100024
1 2020-08-27 09,2589.1457805796745
1 2020-08-27 10,2589.1457805796745
1 2020-08-27 11,2589.1457805796745
1 2020-08-27 12,2898.2477563278226
1 2020-08-27 13,2898.2477563278226
1 2020-08-27 14,2898.2477563278226
1 2020-08-27 15,2945.279618977697
1 2020-08-27 16,2945.279618977697
1 2020-08-27 17,2945.279618977697
1 2020-08-27 18,2744.5285734629556
1 2020-08-27 19,2744.5285734629556
1 2020-08-27 20,2744.5285734629556
1 2020-08-27 21,2865.6380409492217
1 2020-08-27 22,2865.6380409492217
1 2020-08-27 23,2865.6380409492217
1 2020-08-28 00,2798.8126454827543
1 2020-08-28 01,2798.8126454827543
1 2020-08-28 02,2798.8126454827543
1 2020-08-28 03,2645.854200019401
1 2020-08-28 04,2645.854200019401
1 2020-08-28 05,2645.854200019401
1 2020-08-28 06,2634.0680866167863
1 2020-08-28 07,2634.0680866167863
1 2020-08-28 08,2634.0680866167863
1 2020-08-28 09,2822.329887829579
1 2020-08-28 10,2822.329887829579
1 2020-08-28 11,2822.329887829579
1 2020-08-28 12,2768.471790431629
1 2020-08-28 13,2768.471790431629
1 2020-08-28 14,2768.471790431629
1 2020-08-28 15,2880.921021079246
1 2020-08-28 16,2880.921021079246
1 2020-08-28 17,2880.921021079246
1 2020-08-28 18,3248.033064809288
1 2020-08-28 19,3248.033064809288
1 2020-08-28 20,3248.033064809288
1 2020-08-28 21,2831.7025711984056
1 2020-08-28 22,2831.7025711984056
1 2020-08-28 23,2831.7025711984056
1 2020-08-29 00,2103.930026486549
1 2020-08-29 01,2103.930026486549
1 2020-08-29 02,2103.930026486549
1 2020-08-29 03,2011.2616947706294
1 2020-08-29 04,2011.2616947706294
1 2020-08-29 05,2011.2616947706294
1 2020-08-29 06,2042.3072617759635
1 2020-08-29 07,2042.3072617759635
1 2020-08-29 08,2042.3072617759635
1 2020-08-29 09,2488.5765312440562
1 2020-08-29 10,2488.5765312440562
1 2020-08-29 11,2488.5765312440562
1 2020-08-29 12,2792.057494919965
1 2020-08-29 13,2792.057494919965
1 2020-08-29 14,2792.057494919965
1 2020-08-29 15,3063.309985201207
1 2020-08-29 16,3063.309985201207
1 2020-08-29 17,3063.309985201207
1 2020-08-29 18,2984.2605783329564
1 2020-08-29 19,2984.2605783329564
1 2020-08-29 20,2984.2605783329564
1 2020-08-29 21,2381.697687937517
1 2020-08-29 22,2381.697687937517
1 2020-08-29 23,2381.697687937517
1 2020-08-30 00,2684.709275488636
1 2020-08-30 01,2684.709275488636
1 2020-08-30 02,2684.709275488636
1 2020-08-30 03,2195.8893986146936
1 2020-08-30 04,2195.8893986146936
1 2020-08-30 05,2195.8893986146936
1 2020-08-30 06,2152.484036742678
1 2020-08-30 07,2152.484036742678
1 2020-08-30 08,2152.484036742678
1 2020-08-30 09,2423.5843251760894
1 2020-08-30 10,2423.5843251760894
1 2020-08-30 11,2423.5843251760894
1 2020-08-30 12,2940.9605705610957
1 2020-08-30 13,2940.9605705610957
1 2020-08-30 14,2940.9605705610957
1 2020-08-30 15,2797.300379890829
1 2020-08-30 16,2797.300379890829
1 2020-08-30 17,2797.300379890829
1 2020-08-30 18,2565.107999839158
1 2020-08-30 19,2565.107999839158
1 2020-08-30 20,2565.107999839158
1 2020-08-30 21,2295.462405077728
1 2020-08-30 22,2295.462405077728
1 2020-08-30 23,2295.462405077728
1 2020-08-31 00,2509.400016719361
1 2020-08-31 01,2509.400016719361
1 2020-08-31 02,2509.400016719361
1 2020-08-31 03,2645.0333539432413
1 2020-08-31 04,2645.0333539432413
1 2020-08-31 05,2645.0333539432413
1 2020-08-31 06,2209.7386760268305
1 2020-08-31 07,2209.7386760268305
1 2020-08-31 08,2209.7386760268305
1 2020-08-31 09,2206.776679652121
1 2020-08-31 10,2206.776679652121
1 2020-08-31 11,2206.776679652121
1 2020-08-31 12,2458.1029518315227
1 2020-08-31 13,2458.1029518315227
1 2020-08-31 14,2458.1029518315227
1 2020-08-31 15,2686.51496657484
1 2020-08-31 16,2686.51496657484
1 2020-08-31 17,2686.51496657484
1 2020-08-31 18,2542.3615451844944
1 2020-08-31 19,2542.3615451844944
1 2020-08-31 20,2542.3615451844944
1 2020-08-31 21,2446.6571666629043
1 2020-08-31 22,2446.6571666629043
1 2020-08-31 23,2446.6571666629043
2 2020-08-25 00,2154.2121712602825
2 2020-08-25 01,2214.34034945709
2 2020-08-25 02,2214.34034945709
2 2020-08-25 03,1986.1245712096606
2 2020-08-25 04,2160.7002889236956
2 2020-08-25 05,2160.7002889236956
2 2020-08-25 06,1864.7434007447346
2 2020-08-25 07,2061.7458630569886
2 2020-08-25 08,2061.7458630569886
2 2020-08-25 09,2871.9909713449633
2 2020-08-25 10,2729.400456064732
2 2020-08-25 11,2729.400456064732
2 2020-08-25 12,2838.2482811280715
2 2020-08-25 13,2688.998074762698
2 2020-08-25 14,2688.998074762698
2 2020-08-25 15,2684.566094118401
2 2020-08-25 16,2643.283673014337
2 2020-08-25 17,2643.283673014337
2 2020-08-25 18,2665.7289653670064
2 2020-08-25 19,2615.5463800371326
2 2020-08-25 20,2615.5463800371326
