num_date_time,answer
1 2020-08-25 00,2392.884189299777
1 2020-08-25 01,2392.884189299777
1 2020-08-25 02,2392.884189299777
1 2020-08-25 03,2228.566892655207
1 2020-08-25 04,2228.566892655207
1 2020-08-25 05,2228.566892655207
1 2020-08-25 06,2208.592631503707
1 2020-08-25 07,2208.592631503707
1 2020-08-25 08,2208.592631503707
1 2020-08-25 09,2530.5197470310677
1 2020-08-25 10,2530.5197470310677
1 2020-08-25 11,2530.5197470310677
1 2020-08-25 12,2757.9811494493083
1 2020-08-25 13,2757.9811494493083
1 2020-08-25 14,2757.9811494493083
1 2020-08-25 15,2389.053324340306
1 2020-08-25 16,2389.053324340306
1 2020-08-25 17,2389.053324340306
1 2020-08-25 18,2790.8746020581543
1 2020-08-25 19,2790.8746020581543
1 2020-08-25 20,2790.8746020581543
1 2020-08-25 21,2416.0143901661363
1 2020-08-25 22,2416.0143901661363
1 2020-08-25 23,2416.0143901661363
1 2020-08-26 00,2549.198737456157
1 2020-08-26 01,2549.198737456157
1 2020-08-26 02,2549.198737456157
1 2020-08-26 03,2418.770309783714
1 2020-08-26 04,2418.770309783714
1 2020-08-26 05,2418.770309783714
1 2020-08-26 06,2366.7593852531804
1 2020-08-26 07,2366.7593852531804
1 2020-08-26 08,2366.7593852531804
1 2020-08-26 09,2547.479848648231
1 2020-08-26 10,2547.479848648231
1 2020-08-26 11,2547.479848648231
1 2020-08-26 12,2253.657966117049
1 2020-08-26 13,2253.657966117049
1 2020-08-26 14,2253.657966117049
1 2020-08-26 15,2264.3111077526028
1 2020-08-26 16,2264.3111077526028
1 2020-08-26 17,2264.3111077526028
1 2020-08-26 18,2584.0834982644624
1 2020-08-26 19,2584.0834982644624
1 2020-08-26 20,2584.0834982644624
1 2020-08-26 21,2656.0332264500666
1 2020-08-26 22,2656.0332264500666
1 2020-08-26 23,2656.0332264500666
1 2020-08-27 00,2445.5568265855372
1 2020-08-27 01,2445.5568265855372
1 2020-08-27 02,2445.5568265855372
1 2020-08-27 03,2515.88731423244
1 2020-08-27 04,2515.88731423244
1 2020-08-27 05,2515.88731423244
1 2020-08-27 06,2561.9025497100024
1 2020-08-27 07,2561.9025497100024
